date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,Tornado,MAGITUDE,Deaths,WINDSPEED
5/5/2010,31,15,0,11.6,6,49,1:18:00 AM,12:05:00 PM,6:03:00 AM,7:41:00 PM,14,24,24,23,19,2,60,0,1012,31,10,192,10,mississippi,NO,0,0,0
5/6/2010,31,17,0,11.6,6,42,1:49:00 AM,1:01:00 PM,6:02:00 AM,7:42:00 PM,16,24,24,24,17,0,65,0,1013,31,10,209,10,mississippi,NO,0,0,0
5/7/2010,32,19,0,11.6,7,35,2:17:00 AM,1:56:00 PM,6:01:00 AM,7:43:00 PM,17,26,26,25,28,13,66,0,1012,32,10,198,16,mississippi,NO,0,0,0
5/8/2010,23,13,0,13.4,5,27,2:44:00 AM,2:51:00 PM,6:00:00 AM,7:44:00 PM,9,19,19,19,30,17,62,0,1020,23,9,336,16,mississippi,NO,0,0,0
5/9/2010,20,11,0,13.3,4,20,3:11:00 AM,3:47:00 PM,6:00:00 AM,7:44:00 PM,6,15,15,15,19,16,58,0.8,1025,20,10,107,11,mississippi,NO,0,0,0
5/10/2010,17,11,0,9.8,3,13,3:38:00 AM,4:44:00 PM,5:59:00 AM,7:45:00 PM,8,14,14,14,24,49,66,9,1020,17,8,108,14,mississippi,NO,0,0,0
5/11/2010,30,15,0,12.2,5,6,4:08:00 AM,5:43:00 PM,5:58:00 AM,7:46:00 PM,18,23,23,22,31,31,77,0,1017,30,10,169,16,mississippi,NO,0,0,0
5/12/2010,30,20,0,12.2,5,0,4:41:00 AM,6:45:00 PM,5:57:00 AM,7:47:00 PM,20,26,26,24,28,34,76,0.2,1018,30,10,168,14,mississippi,NO,0,0,0
5/13/2010,31,20,0,13.3,6,0,5:19:00 AM,7:49:00 PM,5:56:00 AM,7:47:00 PM,20,27,27,25,22,50,73,0,1020,31,7,178,12,mississippi,NO,0,0,0
5/14/2010,32,22,0,13.3,6,1,6:04:00 AM,8:52:00 PM,5:56:00 AM,7:48:00 PM,19,28,28,26,16,28,69,0,1021,32,10,183,9,mississippi,NO,0,0,0
